date,population
1980,14148415
1981,14223763
1982,
1983,14365385
1984,
1985,14513949
1986,14595755
1987,14682649
1988,14774038
1989,14868655
1990,14965448
1991,15064519
1992,15165862
1993,15268006
1994,15369120
1995,
1996,15563255
1997,15655475
1998,15745647
1999,15835523
2000,15926188
2001,16018114
2002,16110355
2003,
2004,16287182
2005,16367158
2006,16440097
2007,16506655
2008,16568104
2009,16626373
2010,16682917
2011,16738193
2012,16791840
2013,16843502
2014,16892523
2015,16938499
2016,16981295
2017,17021347
2018,17059560
2019,17097130
